gene	enhancer	panel_id	initial_rho	importance	importance_x_abs_rho	distance	gene_control_p99	enhancer_p99	mean_logfc_active	median_logfc_active	min_logfc_active	max_logfc_active
NEFM	chr8:24886821-24887322	E18	0.1184858720419419	0.0172889788092632	0.0020484997309302	[26686]	1.9749809143883588	0.05558870791507404	-3.5267191132280353	-2.4236280146219427	-9.909008570346991	9.021940629019822
NEFM	chr8:24773793-24774294	E19	0.2017642506885265	0.0083655461976463	0.0016878681601683	[139714]	1.9749809143883588	0.029129522231194194	-3.322591115041829	-2.7713327937651675	-9.884481717052463	9.896387079863356
NEFM	chr8:24766963-24767464	E20	0.1587294932421186	0.0094349871542247	0.0014976107297359	[146544]	1.9749809143883588	0.016629119595220527	-2.490874067470556	-1.182562303056725	-9.858770801152879	9.921676178777101
NEFM	chr8:24955004-24955505	E21	0.2296416613886391	0.0061793677717337	0.0014190402814323	[-36156]	1.9749809143883588	0.08478315456789666	-2.670596426227155	-1.8111696162012032	-9.780588230526469	9.896748049048256
NEFM	chr8:24942377-24942878	E22	0.2298112294986674	0.0061510803708335	0.0014135873427663	[-23530]	1.9749809143883588	0.023558739851040785	-2.4369771437306658	-1.279268095990683	-9.788483633246837	9.852645628298477
NEFM	chr8:25033468-25033969	E23	0.0122923804655358	0.1082023023071614	0.0013300638672065	[-114620]	1.9749809143883588	0.09892751385656992	-5.113682410367559	-5.408122841570346	-9.919331037389881	9.06256265503091
NEFM	chr8:24999050-24999551	E24	0.1351831506299378	0.0086845490226531	0.0011740046986823	[-80202]	1.9749809143883588	0.08755551421962705	-3.8153741616235624	-3.56208531945076	-9.800632080333612	9.958366432547825
NEFM	chr8:24891715-24892216	E25	0.1293202344467942	0.0089313343005474	0.0011550022456694	[21792]	1.9749809143883588	0.06659574848088333	-2.7778301214077725	-1.6065980579175063	-9.805082741857463	9.306562007353682
NEFM	chr8:24963464-24963965	E26	0.2143548968156857	0.0045109506251965	0.0009669443558046	[-44616]	1.9749809143883588	0.053315254544057514	-4.018050366631616	-3.885090152310913	-9.896952141854094	9.967226258835993
NEFM	chr8:24832194-24832695	E27	0.2135338221002395	0.0039002701371425	0.0008328395896074	[81314]	1.9749809143883588	0.03611501903253984	-4.3085990898704445	-3.9789072194150856	-9.967226258835993	9.967226258835993
NEFM	chr8:25034605-25035106	E28	0.0605675648654239	0.0130689914196576	0.0007915569855357	[-115758]	1.9749809143883588	0.04345752225801574	-3.548652845252803	-2.7417501270089284	-9.896952141854094	9.03788650395642
NEFM	chr8:24965559-24966060	E31	0.1024790994050016	0.0056767362607708	0.0005817468195635	[-46712]	1.9749809143883588	0.011935449587882329	-2.49988410710804	-1.323220498726576	-9.693907551977956	9.86937756126787
NEFM	chr8:25010086-25010587	E33	0.1286010518819761	0.0040975533063057	0.0005269496653333	[-91238]	1.9749809143883588	0.015651171341805933	-3.024691537935377	-1.7445419771321915	-9.86691424178534	9.967226258835993
NEFM	chr8:24862389-24862890	E37	0.1006503934283127	0.0021717236112983	0.0002185848358947	[51118]	1.9749809143883588	0.020156493717809195	-4.287477971788925	-4.300904555437067	-9.896952141854094	9.947882142957152
